city_ascii,state_id,state_name,lat,lng,population
Eastlake,OH,Ohio,41.6581,-81.4322,18072
Ashtabula,OH,Ohio,41.8805,-80.7984,18067
Avon,IN,Indiana,39.7601,-86.3916,18056
Midlothian,VA,Virginia,37.4856,-77.6522,18054
Gibsonton,FL,Florida,27.826,-82.3761,18053
Oxon Hill,MD,Maryland,38.7884,-76.9727,18049
McAlester,OK,Oklahoma,34.9257,-95.7734,18042
St. Matthews,KY,Kentucky,38.2497,-85.6384,18022
Sudley,VA,Virginia,38.7878,-77.4961,18019
Bethpage,NY,New York,40.7495,-73.4856,18012
Melville,NY,New York,40.7824,-73.4088,17992
Sycamore,IL,Illinois,41.9957,-88.6821,17990
Cutlerville,MI,Michigan,42.8403,-85.6734,17988
Logansport,IN,Indiana,40.7472,-86.352,17968
Marco Island,FL,Florida,25.933,-81.6993,17963
Burke Centre,VA,Virginia,38.7903,-77.2999,17952
Sheridan,WY,Wyoming,44.7961,-106.9642,17938
Cary,IL,Illinois,42.2129,-88.2494,17926
Arroyo Grande,CA,California,35.1241,-120.5845,17924
Beltsville,MD,Maryland,39.0394,-76.9211,17922
Lenoir,NC,North Carolina,35.9094,-81.5249,17909
Palestine,TX,Texas,31.7544,-95.6471,17906
Fayetteville,GA,Georgia,33.4501,-84.471,17902
Safety Harbor,FL,Florida,28.008,-82.6964,17893
Scarsdale,NY,New York,40.9902,-73.7773,17890
Steubenville,OH,Ohio,40.3653,-80.6519,17882
North Babylon,NY,New York,40.7314,-73.3248,17872
St. Michael,MN,Minnesota,45.2014,-93.692,17871
Dover,NJ,New Jersey,40.8859,-74.5597,17866
Canby,OR,Oregon,45.2652,-122.6867,17860
Jenison,MI,Michigan,42.9063,-85.8269,17851
Radford,VA,Virginia,37.1229,-80.5587,17833
El Dorado,AR,Arkansas,33.2184,-92.664,17826
Amsterdam,NY,New York,42.942,-74.1906,17823
Portland,TX,Texas,27.8942,-97.3278,17807
Albert Lea,MN,Minnesota,43.6548,-93.3643,17804
West Columbia,SC,South Carolina,33.9932,-81.0936,17782
Colonia,NJ,New Jersey,40.5926,-74.3148,17782
Oak Grove,OR,Oregon,45.4156,-122.6349,17781
Franklin Park,IL,Illinois,41.9361,-87.8794,17779
Selma,AL,Alabama,32.4166,-87.0336,17762
Ocean Springs,MS,Mississippi,30.4082,-88.7861,17756
Lackawanna,NY,New York,42.8182,-78.8325,17751
Maitland,FL,Florida,28.6295,-81.3718,17749
Gretna,LA,Louisiana,29.9101,-90.0515,17746
Ferndale,MD,Maryland,39.1869,-76.6331,17732
Elizabeth City,NC,North Carolina,36.2942,-76.236,17725
White Settlement,TX,Texas,32.7554,-97.4605,17716
Natchitoches,LA,Louisiana,31.7315,-93.0975,17711
Takoma Park,MD,Maryland,38.981,-77.0028,17703
Lake Butler,FL,Florida,28.4862,-81.546,17700
Zachary,LA,Louisiana,30.6643,-91.1634,17699
Wisconsin Rapids,WI,Wisconsin,44.3927,-89.8265,17691
Alton,TX,Texas,26.2884,-98.3098,17683
Spanish Lake,MO,Missouri,38.7884,-90.2077,17682
Knik-Fairview,AK,Alaska,61.5082,-149.6252,17682
Tallmadge,OH,Ohio,41.1023,-81.4216,17681
Maryland City,MD,Maryland,39.1016,-76.8051,17681
Laurel,VA,Virginia,37.6375,-77.5062,17678
Bay City,TX,Texas,28.9838,-95.9601,17672
Macomb,IL,Illinois,40.4709,-90.6807,17658
Kirksville,MO,Missouri,40.1986,-92.5752,17645
Santa Fe Springs,CA,California,33.9329,-118.0625,17643
Bryn Mawr-Skyway,WA,Washington,47.4949,-122.241,17643
Humacao,PR,Puerto Rico,18.152,-65.8204,17614
Bon Air,VA,Virginia,37.5187,-77.5713,17599
Dumont,NJ,New Jersey,40.9452,-73.9923,17598
Cinco Ranch,TX,Texas,29.7395,-95.7607,17588
Kingstowne,VA,Virginia,38.7625,-77.1444,17585
Tinton Falls,NJ,New Jersey,40.2708,-74.0949,17584
Sunland Park,NM,New Mexico,31.8201,-106.5958,17581
Greenfield,CA,California,36.3242,-121.2428,17565
Paradise,CA,California,39.7558,-121.6063,17560
Glenvar Heights,FL,Florida,25.709,-80.3155,17560
Wantagh,NY,New York,40.6686,-73.5104,17548
Manassas Park,VA,Virginia,38.7709,-77.4429,17548
Lithia Springs,GA,Georgia,33.7811,-84.6487,17545
Godfrey,IL,Illinois,38.9577,-90.2156,17540
Marion,IL,Illinois,37.7345,-88.942,17539
Bostonia,CA,California,32.8189,-116.948,17532
Centerville,UT,Utah,40.9284,-111.8848,17527
Kingsland,GA,Georgia,30.8194,-81.7216,17523
Wailuku,HI,Hawaii,20.8834,-156.5059,17523
South Houston,TX,Texas,29.6611,-95.2285,17522
Martinsburg,WV,West Virginia,39.4582,-77.9776,17517
Anoka,MN,Minnesota,45.2099,-93.3893,17512
Hermiston,OR,Oregon,45.8326,-119.2854,17512
Parole,MD,Maryland,38.9863,-76.5518,17505
New Philadelphia,OH,Ohio,40.486,-81.4401,17485
Redland,MD,Maryland,39.1339,-77.1464,17475
Brownsville,FL,Florida,25.8216,-80.2417,17475
Centralia,WA,Washington,46.7223,-122.9696,17473
Tiffin,OH,Ohio,41.1165,-83.1805,17473
Otsego,MN,Minnesota,45.266,-93.6201,17429
Tillmans Corner,AL,Alabama,30.5819,-88.2128,17419
Palmview,TX,Texas,26.2318,-98.3823,17410
Ada,OK,Oklahoma,34.7662,-96.6681,17399
Oswego,NY,New York,43.4516,-76.5005,17371
Hinsdale,IL,Illinois,41.8007,-87.9273,17366
Iselin,NJ,New Jersey,40.5697,-74.3172,17356
Nederland,TX,Texas,29.9707,-94.0015,17334
Estelle,LA,Louisiana,29.8447,-90.1021,17330
Ocean Acres,NJ,New Jersey,39.743,-74.2805,17325
Hannibal,MO,Missouri,39.7098,-91.3939,17312
Shorewood,IL,Illinois,41.5169,-88.2146,17303
Brenham,TX,Texas,30.1584,-96.3966,17297
Taylor,TX,Texas,30.5729,-97.4268,17291
Lindenwold,NJ,New Jersey,39.8173,-74.9898,17288
Colonial Heights,VA,Virginia,37.265,-77.3969,17283
Mattoon,IL,Illinois,39.4774,-88.3623,17273
Coalinga,CA,California,36.142,-120.3242,17252
Clive,IA,Iowa,41.6147,-93.798,17246
North Canton,OH,Ohio,40.8742,-81.3971,17244
Perry,GA,Georgia,32.472,-83.7283,17235
New Castle,IN,Indiana,39.9191,-85.3697,17234
Anacortes,WA,Washington,48.4878,-122.6292,17231
Tavares,FL,Florida,28.792,-81.7352,17228
Flowing Wells,AZ,Arizona,32.2937,-111.011,17227
Pampa,TX,Texas,35.5479,-100.9651,17226
Tifton,GA,Georgia,31.4624,-83.5203,17189
Sevierville,TN,Tennessee,35.8872,-83.5678,17185
Avenel,NJ,New Jersey,40.5842,-74.2716,17175
Palos Hills,IL,Illinois,41.6986,-87.8266,17172
Vero Beach,FL,Florida,27.6463,-80.393,17163
Massapequa Park,NY,New York,40.6817,-73.4496,17152
Springfield,TN,Tennessee,36.4949,-86.8711,17147
Lebanon,OR,Oregon,44.5317,-122.9071,17144
Myrtle Grove,FL,Florida,30.4158,-87.3027,17140
Lemont,IL,Illinois,41.6695,-87.9838,17131
Ashwaubenon,WI,Wisconsin,44.4796,-88.0889,17130
Damascus,MD,Maryland,39.2701,-77.1957,17105
Vincennes,IN,Indiana,38.6759,-87.5102,17091
Calhoun,GA,Georgia,34.491,-84.9386,17088
Huntington,IN,Indiana,40.881,-85.5063,17083
La Vista,NE,Nebraska,41.1816,-96.0664,17081
South Ogden,UT,Utah,41.1722,-111.9576,17080
Camano,WA,Washington,48.1865,-122.4708,17073
Bristol,VA,Virginia,36.6181,-82.1604,17059
Mount Pleasant,TX,Texas,33.1586,-94.9727,17058
